Type,Sub Type,Temperature,ID,Max Frequency,Mean Frequency,Centroid,Thermal Damage
Heated,Brine,500,46668,1.6281407035175879,13.5,7.0876245445303665,0.29499484441297663
Heated,Brine,500,46669,1.6281407035175879,13.5,7.0668206495620165,0.29499484441297663
Heated,Brine,500,46670,1.6281407035175879,13.5,7.053009115506216,0.29499484441297663
Heated,Brine,500,46671,1.6281407035175879,13.5,7.043419086852704,0.29499484441297663
Heated,Brine,500,46672,1.6281407035175879,13.5,7.019749699727067,0.29499484441297663
Heated,Brine,500,46673,1.6281407035175879,13.5,7.009250048206595,0.29499484441297663
Heated,Brine,500,46724,1.492462311557789,13.5,7.476684257039104,0.368690515212552
Heated,Brine,500,46725,1.492462311557789,13.5,7.41657523971772,0.3847976225186482
Heated,Brine,500,46726,1.492462311557789,13.5,7.42522847654243,0.3668182007676597
Heated,Brine,500,46727,1.492462311557789,13.5,7.423753770175994,0.3504864210239321
Heated,Brine,500,46728,1.492462311557789,13.5,7.4503736781926,0.457877661712457
Heated,Brine,500,46729,1.492462311557789,13.5,7.4546166060602825,0.457877661712457
Heated,Brine,500,46730,1.492462311557789,13.5,7.452946941849884,0.3456291538513819
Heated,Brine,500,46731,1.492462311557789,13.5,7.453594099413196,0.3790734401300637
Heated,Brine,500,46732,1.492462311557789,13.5,7.448258132876475,0.40353400635694187
Heated,Brine,500,46733,1.492462311557789,13.5,7.442499282523866,0.3306686438617889
Heated,Brine,500,46734,1.6281407035175879,13.5,8.193648243316401,0.28200534851603914
Heated,Brine,500,46735,1.6281407035175879,13.5,8.260444077178034,0.27982349714764543
Heated,Brine,500,46736,1.6281407035175879,13.5,8.236642662989572,0.0
Heated,Brine,500,46737,1.6281407035175879,13.5,8.196267009289773,0.0
Heated,Brine,500,46738,1.6281407035175879,13.5,8.146085972375761,0.2841956730936305
Heated,Brine,500,46739,1.6281407035175879,13.5,8.117854057151403,2.1439523585763314
Heated,Brine,500,46740,1.6281407035175879,13.5,8.095662319247683,0.0
Heated,Brine,500,46741,1.6281407035175879,13.5,8.07200255902948,0.2841956730936305
Heated,Brine,500,46742,1.6281407035175879,13.5,8.048737261186266,0.28556892875617085
Heated,Brine,500,46743,1.6281407035175879,13.5,8.028582984971322,0.28556892875617085
Heated,Water,500,46744,1.35678391959799,13.5,7.046334279236856,0.3640186656881469
Heated,Water,500,46745,1.35678391959799,13.5,7.056995119065393,1.205831933277285
Heated,Water,500,46746,1.35678391959799,13.5,7.047840750008828,0.34170758052264966
Heated,Water,500,46747,1.35678391959799,13.5,7.0252390508111136,0.35262213312036683
Heated,Water,500,46748,1.35678391959799,13.5,7.030340142045868,0.35262213312036683
Heated,Water,500,46749,1.35678391959799,13.5,7.01558157302119,0.35262213312036683
Heated,Water,500,46750,1.35678391959799,13.5,7.002225095457722,0.34926892677734545
Heated,Water,500,46751,1.35678391959799,13.5,7.004152693387506,0.35262213312036683
Heated,Water,500,46752,1.35678391959799,13.5,6.995353630383839,0.35568440388195344
Heated,Water,500,46753,1.35678391959799,13.5,6.984871825973767,0.35568440388195344
Heated,Water,500,46774,1.6281407035175879,13.5,7.841686005114622,0.0
Heated,Water,500,46775,1.6281407035175879,13.5,7.7973080501423295,0.0
Heated,Water,500,46776,1.6281407035175879,13.5,7.7373766165631,0.35629844676099537
Heated,Water,500,46777,1.6281407035175879,13.5,7.7041252699276095,6.619694685660584
Heated,Water,500,46778,1.6281407035175879,13.5,7.6739285485138184,0.3781235801396183
Heated,Water,500,46779,1.6281407035175879,13.5,7.65682364579924,6.619694685660584
Heated,Water,500,46780,1.6281407035175879,13.5,7.640148498886709,0.36619515510384526
Heated,Water,500,46781,1.6281407035175879,13.5,7.628991198875673,0.36619515510384526
Heated,Water,500,46782,1.6281407035175879,13.5,7.622309887300358,2.1439523585763314
Heated,Water,500,46783,1.6281407035175879,13.5,7.612122005393249,0.35476433251759343
Heated,Water,500,46804,1.6281407035175879,13.5,8.200762429372535,0.6109610139840196
Heated,Water,500,46805,1.6281407035175879,13.5,8.20424739715694,0.6145862897786217
Heated,Water,500,46806,1.6281407035175879,13.5,8.200185806703042,0.6145862897786217
Heated,Water,500,46807,1.6281407035175879,13.5,8.179731955739431,0.6145862897786217
Heated,Water,500,46808,1.6281407035175879,13.5,8.162785116305791,0.6145862897786217
Heated,Water,500,46809,1.6281407035175879,13.5,8.147600638082967,0.6182222894786145
Heated,Water,500,46810,1.6281407035175879,13.5,8.14518043367586,0.641087244498461
Heated,Water,500,46811,1.6281407035175879,13.5,8.138355069548696,0.6182222894786145
Heated,Water,500,46812,1.6281407035175879,13.5,8.122730330298523,0.6109610139840196
Heated,Water,500,46813,1.6281407035175879,13.5,8.13811873126707,0.6145862897786217
Heated,Brine,750,46914,1.6281407035175879,13.5,5.433501034299537,0.300610993384291
Heated,Brine,750,46915,1.6281407035175879,13.5,5.471429071608041,0.3432132300789032
Heated,Brine,750,46916,1.6281407035175879,13.5,5.48293912970927,0.28584397707036
Heated,Brine,750,46917,1.6281407035175879,13.5,5.518144966028662,0.41771226702553016
Heated,Brine,750,46918,1.6281407035175879,13.5,5.532735058938849,0.2417460203615229
Heated,Brine,750,46919,1.6281407035175879,13.5,5.54937207139492,0.3432132300789032
Heated,Brine,750,46920,1.6281407035175879,13.5,5.572512220823814,0.300610993384291
Heated,Brine,750,46921,1.6281407035175879,13.5,5.6172705234168,0.33601629801665295
Heated,Brine,750,46922,1.6281407035175879,13.5,5.628580517512318,0.41174739253817527
Heated,Brine,750,46923,1.6281407035175879,13.5,5.653893334853515,0.2550812629118924
Heated,Brine,750,46924,1.492462311557789,13.5,7.371067592834218,0.19583704758058273
Heated,Brine,750,46925,1.492462311557789,13.5,7.346893654130225,0.19583704758058273
Heated,Brine,750,46926,1.492462311557789,13.5,7.348658495995492,0.19583704758058273
Heated,Brine,750,46927,1.492462311557789,13.5,7.351748568703241,6.619694685660584
Heated,Brine,750,46928,1.492462311557789,13.5,7.3615373883813815,6.619694685660584
Heated,Brine,750,46929,1.492462311557789,13.5,7.373285693221304,1.7557085230043286
Heated,Brine,750,46930,1.492462311557789,13.5,7.393010992188798,0.1951544908615443
Heated,Brine,750,46931,1.492462311557789,13.5,7.390207472724443,0.1962927473627436
Heated,Brine,750,46932,1.492462311557789,13.5,7.399039840742126,0.19583704758058273
Heated,Brine,750,46933,1.492462311557789,13.5,7.4100884581850694,0.46662393331588603
Heated,Brine,750,46934,1.6281407035175879,13.5,6.677539765146344,0.2811861612986886
Heated,Brine,750,46935,1.6281407035175879,13.5,6.78242338541873,0.29639391688479094
Heated,Brine,750,46936,1.6281407035175879,13.5,6.7866092487312475,0.2537834717687687
Heated,Brine,750,46937,1.6281407035175879,13.5,6.80967029945555,0.30514204200273204
Heated,Brine,750,46938,1.6281407035175879,13.5,6.8033592222005215,0.2765666073623004
Heated,Brine,750,46939,1.6281407035175879,13.5,6.837120531778327,0.30913451226154764
Heated,Brine,750,46940,1.6281407035175879,13.5,6.846922632753764,0.24073506058912877
Heated,Brine,750,46941,1.6281407035175879,13.5,6.822565979512542,0.3477500378317207
Heated,Brine,750,46942,1.6281407035175879,13.5,6.823403828260752,0.29165057465778094
Heated,Brine,750,46943,1.6281407035175879,13.5,6.816414620175052,0.27548521403845083
Heated,Water,750,46954,1.6281407035175879,13.5,6.164859598748549,1.0208448962712344
Heated,Water,750,46955,1.6281407035175879,13.5,6.199910963221081,0.21878911778249252
Heated,Water,750,46956,1.6281407035175879,13.5,6.239599736602784,0.2180676372587024
Heated,Water,750,46957,1.6281407035175879,13.5,6.261011836526177,3.0537488314360544
Heated,Water,750,46958,1.6281407035175879,13.5,6.296793870950993,6.619694685660584
